yellow,-324.0,30.0,21.0
yellow,-155.0,34.0,21.0
yellow,-133.0,36.0,25.0
yellow,284.0,63.0,43.0
yellow,-725.0,21.0,18.0
yellow,-347.0,31.0,19.0
yellow,211.0,56.0,32.0
yellow,-131.0,37.0,24.0
yellow,-354.0,30.0,20.0
yellow,-121.0,39.0,26.0
yellow,11.0,44.0,29.0
yellow,-207.0,33.0,23.0
green,33.0,80.0,71.0
green,26.0,79.0,68.0
green,36.0,82.0,77.0
green,38.0,82.0,82.0
green,27.0,81.0,70.0
green,34.0,81.0,75.0
green,32.0,79.0,71.0
green,34.0,80.0,86.0
green,33.0,80.0,81.0
green,23.0,79.0,64.0
green,34.0,82.0,77.0
green,37.0,82.0,74.0
green,34.0,82.0,83.0
green,23.0,79.0,67.0
green,36.0,83.0,99.0
green,35.0,83.0,88.0
blue,119.0,69.0,63.0
blue,116.0,70.0,62.0
blue,119.0,71.0,62.0
blue,121.0,69.0,63.0
blue,118.0,70.0,63.0
blue,124.0,64.0,61.0
blue,121.0,70.0,69.0
blue,118.0,71.0,68.0
blue,118.0,69.0,58.0
blue,121.0,67.0,60.0
blue,117.0,69.0,69.0
blue,120.0,70.0,71.0
blue,121.0,69.0,67.0
blue,121.0,68.0,62.0
blue,120.0,70.0,62.0
blue,120.0,71.0,65.0
